,ID,Class,mf0,mf1,mf2,mf3,mf4,mf5,mf6,mf7,mf8,mf9,mf10,mf11,mf12
21,5-186924-A-12,crackingfire,-60.47427,97.5665,25.13369,50.806282,9.010288,38.81617,18.822903,17.88231,1.08611,13.771384,0.96126974,8.396175,0.33861813
22,4-170247-B-12,crackingfire,-297.1522,110.12232,39.70594,39.655308,15.601989,23.94713,13.275018,15.088103,7.0765195,13.445545,7.8596096,9.000019,4.988343
23,3-145774-A-12,crackingfire,-412.776,65.09755,58.560307,43.13332,19.104082,17.494278,13.022688,7.346375,7.5516577,6.9930735,4.701442,10.430116,4.0595136
24,2-18766-B-12,crackingfire,-479.8162,-2.1577742,48.082863,49.82613,27.257313,28.566551,-0.7651964,4.435209,-2.6605005,11.674828,7.5916834,9.898538,-0.31267858
25,4-164661-B-12,crackingfire,-391.23264,57.41276,63.361015,14.657784,8.909464,20.165236,9.594643,13.035371,5.0211034,9.733903,1.9868073,4.7331033,1.2422456
26,1-4211-A-12,crackingfire,-251.70389,77.29301,14.39059,45.649937,23.450228,19.983126,13.320403,20.96718,10.815809,19.410744,9.120088,13.510689,3.9198833
27,1-17808-B-12,crackingfire,-346.4556,78.84527,18.247734,37.18826,21.712776,19.230017,12.7204,19.083385,16.22748,13.430214,6.3784747,12.044244,6.8062243
28,5-215658-B-12,crackingfire,-254.63988,100.87098,46.790047,88.02662,46.87376,31.350586,3.7723303,10.313732,-0.9038415,7.16709,-15.663578,-3.6093576,-5.1285973
29,4-182369-A-12,crackingfire,-271.1819,94.93017,44.15424,18.850943,18.989542,2.303563,8.96987,1.7511643,1.2338675,7.969868,-1.0489141,12.735479,-5.6091366
30,4-170247-A-12,crackingfire,-343.82364,88.593605,49.79725,40.412388,14.526161,24.473059,12.01811,17.411406,6.9128733,12.601985,4.692463,8.516021,3.247976
31,3-157187-A-12,crackingfire,-459.97638,35.83854,18.897753,17.338762,11.002407,10.311143,8.316486,6.779629,4.156827,4.0232325,1.9786742,3.7540538,-0.7920269
32,2-28314-B-12,crackingfire,-397.89392,72.82155,22.392456,21.101694,9.89259,14.178443,2.1253488,10.362269,5.506055,6.504722,3.382028,6.8649373,-3.9382825
33,4-182368-A-12,crackingfire,-366.61398,91.83267,34.27972,18.758068,8.924865,4.4131694,5.4273095,2.9133606,1.3833498,8.238635,-2.2908514,8.644521,-3.4090357
34,2-18766-A-12,crackingfire,-408.28406,-4.4732046,56.375397,49.780697,30.618435,25.521894,1.0489199,2.3239048,-6.643933,6.2231607,9.264597,10.609777,0.99448586
35,5-193473-A-12,crackingfire,-339.75488,5.3071494,30.719309,11.944526,7.020832,-1.1577511,2.052819,-5.427466,-3.1737623,-0.7160567,-5.326229,2.486479,-4.2319117
36,3-104632-A-12,crackingfire,-454.5775,62.313473,-13.510292,-2.6266282,-17.437565,-16.505014,-21.3477,-10.981661,-12.208901,6.1542425,-6.3329883,2.5536807,-7.1643887
37,5-193473-B-12,crackingfire,-392.51956,-10.90734,27.643702,7.727134,6.265997,-3.986588,1.2486554,-6.6012535,-4.125561,-1.2707193,-4.9972744,2.1301558,-5.3584175
38,5-213802-A-12,crackingfire,-135.6316,48.67207,49.742657,42.34602,33.551975,17.035875,16.226809,11.122011,1.9991127,5.4245157,-4.9168754,20.324402,8.917421
39,5-215658-A-12,crackingfire,-363.82962,107.908005,38.675503,84.49114,47.29677,31.063988,4.2397943,9.9238825,-1.653507,5.639195,-14.409655,-3.268302,-6.601017
40,1-60997-A-20,baby,-326.1382,-3.7155485,-57.538338,6.210482,-48.00706,7.055252,-6.2589297,0.07465018,-7.832723,-2.3408732,-14.334761,-8.523073,1.6329719
41,2-66637-B-20,baby,-217.2828,48.15384,-13.736833,-11.242597,-11.965962,6.923269,-9.632481,12.724843,-0.09499223,4.8338428,-6.0353026,2.256844,-5.966238
42,3-152007-C-20,baby,-297.62137,35.55311,-40.403057,16.49725,-29.420506,-14.826691,-34.46822,-8.175235,-2.5603974,-16.685194,-12.028613,3.4095418,-4.0751395
43,3-152007-D-20,baby,-265.4132,-1.3220322,-72.83894,1.4828482,-30.159986,-5.283929,-34.69899,-6.234849,-12.963474,-6.0314937,4.5086713,1.3088695,-0.033020593
44,5-198411-D-20,baby,-199.64342,63.99837,-32.034195,13.144484,-22.03154,-10.669094,-16.473747,-0.7319448,6.688717,-4.446836,20.635998,-1.2363429,13.093516
45,2-151079-A-20,baby,-319.4803,37.950706,-37.045586,-26.901882,-11.823847,2.161566,9.176153,6.2580605,0.93516743,2.3250082,-7.359595,2.6183228,2.537183
46,1-211527-A-20,baby,-298.96265,4.471974,-45.02835,28.085018,-8.2261305,-2.5354269,11.786797,9.927233,5.4375763,-5.2558107,0.2790587,8.537519,3.4850073
47,5-198411-F-20,baby,-266.6614,11.705376,-63.330135,12.42709,9.397213,-0.35604176,-8.928397,7.0173683,18.795717,4.0309153,5.5628753,10.325753,16.649529
48,1-22694-B-20,baby,-338.7799,73.743095,-8.696139,4.1943555,7.1662884,10.701494,-3.288702,12.341783,1.2463821,4.5149865,-7.2588005,3.5426447,-4.2520633
49,1-22694-A-20,baby,-298.27475,50.106617,-23.853073,3.4131978,1.9601058,9.783007,-2.621671,17.58793,-3.9918501,2.3452153,-3.49457,1.4310099,-8.172646
50,3-151080-A-20,baby,-190.07782,39.789486,-57.810833,-23.65369,-27.32478,0.06601192,10.394546,15.24267,-13.475903,13.587419,-16.771976,5.122995,-7.1519628
51,2-50665-A-20,baby,-428.8371,17.273834,-23.623955,10.917739,-18.829748,0.5675475,-4.183798,0.38430476,15.606742,-6.9176674,0.67448664,9.537751,13.678273
52,4-185575-A-20,baby,-219.55946,60.86221,-28.720102,6.4307613,-3.8370945,1.6580551,-29.11379,13.790503,-1.0820111,7.342954,-15.002918,-0.07379094,-0.6930304
53,5-198411-G-20,baby,-309.6756,87.84542,1.581498,15.038627,-25.363274,0.5646765,-6.1517596,-5.3296084,15.849446,-1.3804902,27.825169,5.52427,8.9046
54,4-59579-A-20,baby,-221.40283,4.028722,-41.578148,5.918938,-6.991531,6.657321,-27.098742,4.2302165,2.9494934,0.8251097,-7.483298,-1.298986,5.173614
55,5-198411-B-20,baby,-258.36606,74.259514,-7.14511,24.852873,-24.03652,2.3333745,-5.69096,-3.8156002,12.951586,-5.3835254,20.299995,-2.5800512,1.3252097
56,4-167077-A-20,baby,-282.02164,52.268948,1.2779653,-4.522633,3.0120926,-4.795547,4.819574,19.105984,9.488725,4.1234884,-2.7966363,2.6942155,-3.141385
57,2-50666-A-20,baby,-309.04422,54.050114,-31.750988,31.58748,-28.787075,2.1287873,-19.368595,3.9061346,28.108631,7.1063204,-0.111846894,-2.52111,-2.9017565
58,1-60997-B-20,baby,-293.83783,-35.089825,-78.79103,12.672097,-49.756664,7.4967327,-13.941882,5.942255,-11.430743,-2.0869327,-23.326267,-10.3878355,2.8172245
59,2-107351-A-20,baby,-181.59142,12.482305,-61.113483,2.11709,-8.25236,-21.82328,-21.56121,17.18367,4.866721,-4.543839,-3.4556706,3.201608,9.3576
60,5-198411-E-20,baby,-191.66307,79.94102,-4.7157536,21.071976,-42.403263,0.51053876,-5.0533466,-17.509745,4.7627583,-11.8260565,31.154161,-6.6488433,14.652644
61,5-151085-A-20,baby,-160.03372,30.977694,-65.423096,-26.399519,-29.310127,0.71352726,8.094452,15.815245,-16.577389,12.197187,-17.19311,5.039974,-7.790342
62,4-167077-C-20,baby,-267.73755,59.388077,-29.66066,-5.586365,-12.065227,-7.714145,-6.611175,8.409051,0.31564862,4.970258,-13.73791,2.1558383,-1.7467798
63,1-187207-A-20,baby,-283.16467,102.49004,-8.504624,8.035291,-19.80966,3.0510802,2.3792307,-7.01949,6.6733575,8.143369,1.0132025,-2.902098,-4.647759
64,5-198411-A-20,baby,-273.36356,25.059315,-38.180843,9.784755,-1.3236252,5.267637,-5.670212,2.6906607,6.9349394,6.1781487,3.489398,2.8545787,6.899203
65,1-211527-B-20,baby,-198.65598,80.995,-53.77032,12.426741,-25.826277,7.334647,15.552034,9.66111,-2.8235977,-1.9799949,2.367744,5.8956676,-0.1401127
66,3-151081-A-20,baby,-191.15839,14.461327,-33.424774,-8.941039,-16.23064,18.693882,14.463727,18.06685,1.4295999,2.946666,0.4441852,8.563386,-7.4800816
67,3-151081-B-20,baby,-241.93378,85.497955,-30.11495,-3.7848225,-12.61189,3.8741457,12.470416,30.569756,9.3433485,-2.3611429,0.63710964,-0.5853894,-8.589899
68,3-152007-E-20,baby,-234.37181,39.528984,-65.68453,14.718585,-51.6927,-19.926743,-37.095226,-28.179073,11.265004,-21.007992,-13.768864,-8.323603,-5.836362
69,2-66637-A-20,baby,-200.05138,27.403751,-10.641372,-11.443525,-12.593242,-10.140302,-14.319032,17.387827,-1.9231156,8.219382,-2.540108,2.1128383,2.7954273
70,4-59579-B-20,baby,-368.67746,39.77155,-17.081846,-0.64595795,-15.345159,-6.7654743,-23.765444,3.2994404,-1.8773507,-4.694372,-0.011513823,-2.3630953,-0.75947464
71,3-152007-B-20,baby,-177.70982,51.538967,-73.39715,-8.341363,-48.052414,-7.831961,-36.645172,-14.409089,24.197634,-18.353975,-17.30956,-6.9088283,-7.4530587
72,2-80482-A-20,baby,-357.26685,-44.137787,-72.71253,-35.18696,-20.584831,-19.128899,-12.593653,1.1469363,-22.291416,1.6582351,-8.788569,5.4370112,-7.0749416
73,1-211527-C-20,baby,-260.31042,-10.827455,-55.665157,11.064681,-23.7648,-7.1954317,20.514856,5.206391,-5.957997,-4.6678205,-0.14648825,13.051612,2.992679
74,3-152007-A-20,baby,-327.72693,12.514341,-46.604664,7.064719,-24.624794,-5.447528,-38.149235,-5.5483975,-1.5916947,-6.790672,-8.867601,3.435677,4.857898
75,2-107351-B-20,baby,-167.95253,-3.9712055,-73.44367,4.0034175,-1.652461,-5.9107585,-18.166756,14.886854,11.202801,-8.774268,-4.6369267,8.78682,15.430726
76,4-185575-B-20,baby,-205.86765,75.762215,-31.745201,1.4559234,-11.472134,-3.2279065,-38.25073,5.27,-11.298823,5.7113743,-11.064343,3.7630262,-4.781684
77,5-198411-C-20,baby,-283.47595,115.20137,6.834146,-0.57246715,-25.33386,-10.354049,-25.3598,-22.107704,6.7110934,-2.8627121,11.603167,2.3132482,4.438106
78,4-167077-B-20,baby,-208.57784,42.152832,-22.690287,-6.6379128,-2.9747844,-17.13309,-9.885133,17.270586,-2.9243503,6.621984,-15.367452,0.9943345,0.8465075
79,4-185575-C-20,baby,-255.86414,59.04004,-38.125275,-4.708873,-12.323897,-2.0090144,-31.137077,-2.2019055,-12.29554,-4.968827,-11.017916,1.9836928,-10.297419
80,4-128659-A-33,door_creaks,-407.7959,27.84336,-21.958603,5.8477,-30.392525,-10.832225,-21.602268,-3.6068747,-6.2416043,6.492852,-0.095621005,6.4507747,1.5136154
81,2-70344-A-33,door_creaks,-624.22437,11.44998,-1.1218555,4.0036383,-0.5139664,1.958392,-0.10334706,1.515946,-0.30835992,1.6423805,-0.81269956,-0.6207561,0.9694214
82,2-7321-A-33,door_creaks,-198.24094,91.98143,10.440538,2.1247735,5.193155,13.452848,-5.0722017,7.4752655,-2.0964649,4.056261,-2.8814886,3.5692549,-1.4556177
83,3-103401-B-33,door_creaks,-177.30217,87.56618,-76.50003,-11.596722,-18.996021,-1.2095954,-16.834173,-10.478596,-13.459473,-1.3561829,-8.990233,4.0205235,-10.281563
84,2-70367-A-33,door_creaks,-280.68387,28.99806,-10.509596,-2.7207446,-6.9992194,0.817473,-1.3754737,3.1149688,2.5002568,3.6607516,0.24609728,5.281594,-2.612938
85,1-51805-E-33,door_creaks,-404.56818,86.52502,-24.019823,24.31315,-2.5823932,13.7838335,-11.13648,6.492999,-2.1114886,13.389345,4.785743,4.4974003,0.23965241
86,5-161270-B-33,door_creaks,-300.9776,138.9668,-5.374763,37.60561,7.9091973,10.525518,0.13163951,15.320141,4.2659965,-2.340307,-16.47308,2.894011,1.4271017
87,3-101381-B-33,door_creaks,-554.73126,144.93083,-2.7203162,-16.628597,-3.9224265,0.27546027,-5.8340425,-10.622634,-10.973858,-4.171891,1.4424859,-6.213842,-5.106674
88,1-51805-B-33,door_creaks,-380.07886,31.936266,-40.460064,17.565924,6.5125284,16.917376,-3.3700683,-5.145097,1.7038347,16.424892,9.83442,4.129115,4.697703
89,5-191497-A-33,door_creaks,-353.45993,111.08036,-18.02544,17.902168,-1.2144156,12.069884,6.6261687,5.04506,3.1452672,3.945744,7.03338,10.61933,-2.5311112
90,5-173568-A-33,door_creaks,-526.52527,3.8530703,5.3439813,3.4961805,1.190578,1.9298908,-1.7354624,4.250756,2.2728722,1.8891481,-1.5490578,-2.6908529,-2.5979626
91,3-103401-A-33,door_creaks,-303.59738,76.99618,-34.539078,13.325633,-1.0136241,9.008755,-5.163053,-3.5170915,-8.325725,-1.4441993,-9.115382,1.8071787,-4.7924633
92,4-107117-A-33,door_creaks,-35.62122,63.627388,-69.43338,39.586117,-27.965141,4.9502983,-29.582457,10.863533,-15.795799,-14.282534,-21.280504,-5.9330144,-8.455619
93,2-91912-B-33,door_creaks,-321.70737,103.77345,-17.45262,24.7564,3.0578082,7.53826,4.1604824,5.2362604,0.1543277,7.6219964,4.348712,1.9465016,-1.1058654
94,5-181458-A-33,door_creaks,-549.6126,76.27427,-18.922201,25.602316,10.77723,11.116202,3.2768617,12.904381,4.955959,10.647578,11.613922,11.492022,1.610137
95,4-160036-A-33,door_creaks,-381.31937,190.37132,10.889814,48.932423,28.655352,11.452691,1.1738346,5.303789,7.256138,-6.070982,-5.765311,2.9404979,16.080086
96,4-108352-A-33,door_creaks,-497.22464,55.82167,-5.330041,40.972397,8.106901,13.61602,7.8806944,7.308255,-6.3211246,18.42647,6.760067,6.0287967,9.61585
97,3-101381-A-33,door_creaks,-580.7763,117.6756,-7.61237,-11.99118,-1.09919,-2.462628,-6.75491,-6.0126452,-7.63021,-5.459818,1.2604438,-5.8354836,-6.6025066
98,2-123712-A-33,door_creaks,-498.1047,30.675375,-15.624004,6.532391,4.734085,9.183793,0.6814087,14.909448,2.1009572,1.5321698,-11.464221,-4.183821,-4.921067
99,4-107120-A-33,door_creaks,-392.62817,-8.835796,-7.082792,7.3576045,-10.479936,10.39947,-11.133394,2.4605978,-0.08142676,-0.7902858,-5.3926973,1.2205361,0.08910569
100,3-103401-C-33,door_creaks,-141.74263,58.25734,-82.17178,-21.916592,-28.34327,-1.8291289,-17.024479,-5.7291493,-12.112858,-4.4857426,-3.555276,3.2759857,-14.0076065
101,1-51805-C-33,door_creaks,-489.87115,65.22482,-28.944872,24.04095,17.541355,12.287071,-5.304889,8.905854,3.684025,7.282017,6.015103,16.834303,14.533932
102,2-91912-A-33,door_creaks,-360.1233,115.69574,-23.79115,24.152473,-2.9305234,8.214748,3.1055548,7.3816214,-0.47534826,5.509326,3.1011505,6.4370275,0.10148334
103,1-51805-F-33,door_creaks,-390.9756,89.13459,-26.809786,20.306639,-4.3862696,7.328171,-13.6575575,1.4181821,3.1979733,5.6169066,8.686206,-0.06820971,0.12266401
104,1-51805-G-33,door_creaks,-293.50623,48.618874,-16.926834,14.205345,-6.0381336,0.42963383,-22.701921,2.0221186,-0.94992745,5.0825095,6.141412,-4.277971,-4.7671633
105,1-51805-D-33,door_creaks,-426.03723,26.374434,-8.066988,22.156555,10.807599,22.402342,-1.577568,8.030356,0.2689634,4.1657724,7.0371013,9.482091,7.6738577
106,2-87780-A-33,door_creaks,-577.29034,94.39244,-14.245406,7.4089203,1.9096855,6.238498,7.4856515,5.981748,2.0234485,3.0244436,-4.3848515,-2.9362788,-1.0100998
107,3-103401-D-33,door_creaks,-172.46512,48.55572,-67.18798,-21.636974,-13.033327,-5.590639,-15.718227,-9.867699,-15.050133,-5.6874623,-10.027326,-0.010585061,-12.870191
108,5-177779-A-33,door_creaks,-404.9575,71.7763,12.518235,24.840141,0.18512185,-0.80673194,-6.9179387,6.8656673,-13.905451,-3.4509137,-10.745531,2.456442,-7.9817324
109,3-94355-A-33,door_creaks,-334.76874,54.592926,-20.192383,31.216284,6.2780447,12.537053,0.5769929,6.1509166,0.2012189,9.539491,2.806593,7.559713,4.71938
110,4-160036-B-33,door_creaks,-411.92242,156.78973,21.016867,24.37958,34.929775,12.432695,-0.05982332,8.480427,11.339036,-4.6798196,-8.51253,7.7060375,17.292562
111,2-70366-A-33,door_creaks,-493.9525,22.408407,-5.41492,-1.8107457,-1.6371076,0.408019,0.6721999,3.6465585,2.7633271,2.293844,1.304758,3.314017,-0.8986019
112,5-188606-A-33,door_creaks,-675.80304,22.844873,-16.55203,5.8164783,-9.652356,-7.4674554,-4.44434,1.5728358,-4.6257253,-7.0247397,-4.5653677,-0.9175367,-3.2543077
113,1-51805-A-33,door_creaks,-286.11234,13.86975,-42.332016,17.048319,-7.126017,15.780345,-10.846803,-0.03220192,2.400128,9.247957,-4.3342385,1.789323,10.025482
114,4-107122-A-33,door_creaks,-197.30115,-7.2993326,-39.49856,13.180043,-22.629255,8.409396,-18.936516,5.979849,-2.229015,-14.30771,-9.506665,4.2391443,-11.89287
115,4-132839-A-33,door_creaks,-129.34459,88.739296,-69.443184,3.1807175,-6.0671673,5.8152003,-9.567686,14.880304,3.7820115,10.455011,7.6266093,-8.326762,-3.0728636
116,3-118194-A-33,door_creaks,-307.50464,58.527786,-27.418852,20.469484,-12.426116,8.780435,-6.6408806,3.2255182,2.3682964,10.930461,0.16672908,7.662333,0.0642868
117,5-187444-A-33,door_creaks,-139.63736,22.252392,-30.278505,15.801655,-13.934868,15.569166,0.7514529,4.4762907,6.753528,4.9267707,-5.4463015,6.5548835,1.9708129
118,1-51805-H-33,door_creaks,-429.88724,63.083103,-3.341126,29.075016,7.006811,21.225576,-0.15904188,3.2040393,3.0146883,10.318371,1.2106553,6.37873,5.433814
119,5-161270-A-33,door_creaks,-288.65637,135.61029,-9.614736,37.623016,5.9017367,10.704263,3.5419192,18.276731,4.11504,-3.198637,-14.328307,0.13293327,-0.97525954
120,4-207124-A-0,dog,-392.178,110.28573,-7.7008233,-25.136913,-24.738266,-16.376467,-19.215443,-16.90656,-9.367665,-1.5824567,5.0251555,4.981091,2.2668612
121,2-118964-A-0,dog,-403.79837,27.826206,-6.9766426,-2.9215314,-6.2781887,-0.45186552,-1.9882582,1.1053977,-0.76750606,0.7468901,0.9783459,1.0956376,-1.3887753
122,5-9032-A-0,dog,-491.03067,5.419735,-30.225233,8.634355,-2.1411684,12.292162,7.9183993,0.02514011,0.0009882384,1.5298594,2.4171546,1.5970602,-2.797408
123,3-180256-A-0,dog,-358.09225,107.45106,-39.99776,-54.08166,-32.642426,-10.528564,1.168098,-2.919609,4.752419,3.2441092,2.9570591,-0.35476223,0.439642
124,1-110389-A-0,dog,-586.1157,10.296741,-3.042155,-2.8375478,-0.19359408,0.73031515,-1.2582695,0.13178214,-0.12296051,0.446582,0.5877944,0.9710083,1.6065551
125,3-136288-A-0,dog,-273.66498,135.59187,-17.533482,4.5228763,-10.266515,6.229636,11.073671,23.09292,8.084506,0.32923505,1.3174896,18.453794,3.837055
126,5-203128-B-0,dog,-281.01352,101.70953,-42.25847,-42.392204,-20.301403,-14.66461,-9.584049,-3.5587156,-10.442167,11.194188,-3.2267444,15.69802,13.491403
127,5-231762-A-0,dog,-432.65857,43.6133,1.5019177,-11.716187,-12.506514,-7.2931952,-10.651379,-5.329943,-1.9048256,-3.760612,-2.5870013,-1.4546403,4.1072474
128,5-208030-A-0,dog,-182.64348,52.92184,-92.09185,-22.519506,-3.797951,6.308759,-3.2851183,-1.6217178,-8.292272,-4.984349,-7.916744,-2.3077483,-7.5229974
129,5-213855-A-0,dog,-286.44586,137.14001,-24.032448,-29.058752,2.766807,13.638261,13.250489,23.834663,9.999297,0.50716573,2.892403,13.637743,3.461787
130,3-155312-A-0,dog,-300.53333,117.53124,-57.862057,-29.321255,-26.954569,-29.557833,-21.341526,-20.859549,-5.7491727,-10.719867,-2.4192002,7.809781,0.0789939
131,2-116400-A-0,dog,-353.8368,103.073555,-5.9112835,-18.748365,-4.789219,-1.025865,-12.791356,-0.2498683,-4.6126623,7.619605,5.1648493,4.168935,11.0869465
132,4-194754-A-0,dog,-329.87576,134.95018,-19.317598,4.7328677,3.5179975,10.276827,0.82150227,15.142837,13.770439,6.4264345,2.0391722,4.1881766,6.482404
133,4-191687-A-0,dog,-367.26816,72.74639,-6.542546,-13.332854,-8.83145,-5.4465585,-5.3222537,2.7575378,0.8429571,-3.8627157,3.9787729,4.5499544,-3.468997
134,1-97392-A-0,dog,-447.60605,44.410236,-37.725666,-26.288559,-10.817391,-13.829326,-5.9827185,0.42652652,-3.5052989,-1.4532669,-4.2405324,-3.5420184,-2.690681
135,5-217158-A-0,dog,-312.9068,153.75963,-84.29739,-56.707203,-8.160712,-34.36169,-22.119331,4.24773,-1.6175096,8.753051,25.54819,8.473543,0.27307928
136,2-122104-B-0,dog,-354.81506,149.7779,13.3575,-29.152124,-21.491621,-2.6465611,-4.7212496,0.6364906,-3.8057513,-2.3481543,-0.8821871,-0.860556,1.3196027
137,2-117271-A-0,dog,-198.2276,146.984,-3.5372498,-10.851082,-6.507108,3.4762976,-9.451799,2.2416124,-1.4525504,3.280718,-0.52111197,6.7827473,4.0176926
138,4-182395-A-0,dog,-563.46124,24.744694,10.589463,-1.1347479,-3.2202501,1.2691954,-2.1737385,-1.7853049,-2.5148425,-1.1149348,1.1841986,1.1919184,-0.8769328
139,4-192236-A-0,dog,-359.70572,88.94421,10.288812,-6.2384253,-16.822533,-18.492579,-3.5791807,-11.812987,-9.77492,3.6684742,-1.7837365,2.5585897,2.3094757
140,1-85362-A-0,dog,-320.1224,142.23364,-47.699444,-60.290203,-36.492405,-26.242167,-19.147646,-10.246421,-19.145767,3.6030025,12.082295,9.588421,4.578893
141,2-118072-A-0,dog,-492.52994,29.262392,2.1681728,-4.353133,-4.2134557,3.6380603,-1.0942216,2.2434008,2.4982243,2.8968906,2.9270728,0.047724217,2.548732
142,1-30344-A-0,dog,-379.66412,101.117035,-3.6569986,-18.942917,-24.047012,-24.909468,-14.507141,-9.891089,-18.13578,0.4201438,-0.0911855,-5.55243,-2.4685104
143,4-199261-A-0,dog,-390.23953,93.33519,-9.559453,-7.310436,-5.031838,-11.076491,1.480575,-4.4359946,-8.14417,-4.826551,-6.035648,0.47981414,8.517208
144,3-157695-A-0,dog,-390.30682,59.65285,-14.206002,-20.857841,-10.648952,-11.497187,-35.084515,-14.292397,-5.989168,-7.4273853,-5.833076,-7.4847503,-7.1200533
145,5-212454-A-0,dog,-325.9241,112.614075,-1.8395953,-18.461329,-26.866575,-3.30015,-9.948953,-11.917586,-5.040172,-7.643476,-20.839428,-3.3302004,-5.4602056
146,1-59513-A-0,dog,-333.14133,160.53249,15.692051,-4.3401027,-8.506345,-13.415109,-6.709086,-6.7673464,-11.373397,-12.689699,-3.3694575,0.9459943,-5.7222667
147,5-203128-A-0,dog,-332.6077,92.763145,-1.4863635,-13.479512,-17.377737,-12.105611,-5.8995724,0.54915893,1.9298121,10.155145,2.0212648,3.2698212,1.164499
148,1-32318-A-0,dog,-330.26855,72.231926,-6.4124994,-3.9387548,11.810658,2.0678859,-8.887974,-6.1879873,-8.490626,-4.531522,5.1350408,12.294177,15.620936
149,1-100032-A-0,dog,-600.96826,4.735329,-8.546893,-4.2358017,-0.85924035,-1.9330618,-0.3346897,0.8651508,0.78212494,0.4798204,-0.5150491,-0.20849334,-0.89801013
150,2-114587-A-0,dog,-300.30765,33.009186,-89.89334,-32.317097,-43.30359,-19.31609,7.537295,14.188049,0.047766402,5.1119037,-12.350084,-0.914594,4.4938793
151,1-30226-A-0,dog,-372.79526,140.1924,-24.237566,14.226515,12.303753,15.041835,6.2822847,10.975502,5.5121374,12.518128,8.577349,5.489306,-1.4865855
152,3-163459-A-0,dog,-533.237,43.805088,-9.956793,-7.925109,3.1676662,4.3885283,0.31633657,5.9251523,2.3070405,3.1898768,-0.85439765,2.1048682,1.7377906
